trial;last_task_accuracy;kmeans_k;knn_k;shrinkage_alpha_0;shrinkage_alpha_1;tukey_lambda
784;72,32;50;6;1,215166905;0,808585335;0,39280585
792;72,32;50;6;1,130001747;0,65386557;0,397706871
802;72,32;50;6;1,136765571;0,63718472;0,395973608
808;72,32;50;6;1,137253417;0,637527294;0,395729573
812;72,32;50;6;1,228763781;0,826527038;0,390869281
822;72,32;50;6;1,130742632;0,617800496;0,394594214
823;72,32;50;6;1,251386584;0,832207058;0,388400151
833;72,32;50;6;1,222224804;0,703571212;0,399296336
847;72,32;50;6;1,114171195;0,758424418;0,402703914
853;72,32;50;6;1,050843563;0,5;0,392499219
860;72,32;50;6;1,10587873;0,641422129;0,402051396
861;72,32;50;6;1,231437629;0,819398007;0,39060867
880;72,32;50;6;1,260254415;0,860524783;0,385274673
910;72,32;50;6;1,191801891;0,843208575;0,391154901
927;72,32;50;6;1,257986088;0,87283504;0,382333068
951;72,32;50;6;1,237917208;0,827279778;0,398110362
1008;72,32;50;6;1,246023239;0,8170969;0,400073407
1016;72,32;50;6;1,188811225;0,802559613;0,386452834
1017;72,32;50;6;1,248284676;0,819437923;0,400930613
1020;72,32;50;6;1,354877078;0,5;0,379313642
1068;72,32;50;6;1,048274703;0,650971961;0,391383616
1085;72,32;50;6;0,999795312;0,5;0,388649587
1104;72,32;50;6;1,244232359;0,808492037;0,400690182
1108;72,32;50;6;1,269213343;0,821140908;0,397976483
1114;72,32;50;6;1,083271063;0,5;0,405128451
1140;72,32;50;6;1,234707728;0,5;0,357967747
1150;72,32;50;6;1,054575093;0,5;0,411297977
1182;72,32;50;6;1,354293723;0,660171868;0,372297234
1233;72,32;50;6;1,307120678;0,825740087;0,369163403
1284;72,32;50;6;0,970387676;0,641087279;0,39311827
1375;72,32;50;6;0,797337106;0,5;0,387330752
1533;72,32;20;6;0,876102362;0,5;0,381077391
1558;72,32;20;6;0,886162137;0,5;0,379526927
2521;72,32;50;6;1,379716086;0,900193333;0,390938529
2582;72,32;50;6;1,410804385;0,907619683;0,386800267
2662;72,32;36;6;1,297921649;0,5;0,328899193
2868;72,32;50;6;1,302635453;0,790867741;0,413143241
3198;72,32;50;6;1,204107839;0,67740976;0,410942131
3434;72,32;50;6;1,456665202;0,809474431;0,38434415
3487;72,32;50;6;1,19793035;0,68075906;0,410136796
3521;72,32;50;6;1,198912163;0,678410534;0,409977971
3584;72,32;50;6;1,341337294;0,668594111;0,384751115
3638;72,32;50;6;1,301537855;0,850899808;0,409312038
3699;72,32;50;6;1,324650271;0,826878888;0,391559572
3775;72,32;50;6;1,309631468;0,751429898;0,382173999
3858;72,32;50;6;1,225273352;0,663796518;0,395750541
3878;72,32;50;6;1,233139095;0,666525994;0,396024807
3991;72,32;50;6;1,403322942;0,706718197;0,379827761
4227;72,32;50;6;1,298185612;0,683059596;0,379210322
4449;72,32;29;6;1,415987722;0,5;0,3351931
6042;72,32;46;4;0,877345881;0,5;0,409304868
6704;72,32;43;4;0,905084392;0,5;0,397171848
6705;72,32;43;4;0,949220796;0,5;0,435146043
7089;72,32;43;4;1,037826313;0,5;0,413420493
131;72,3;50;6;1,19696446;0,5;0,360555675
162;72,3;50;6;1,183883795;0,5;0,416763802
163;72,3;50;6;1,183946306;0,5;0,41645714
177;72,3;50;6;1,213058045;0,905950108;0,413161677
184;72,3;50;5;1,205936926;0,694526826;0,403291304
198;72,3;50;6;1,167732351;0,683329416;0,398325883
207;72,3;50;6;1,301094902;0,905729704;0,389287319
363;72,3;50;6;1,28424751;0,652910274;0,383365953
369;72,3;50;6;1,29527117;0,660625992;0,377512369
394;72,3;50;6;1,278419476;0,6681517;0,387221009
397;72,3;50;6;1,278567123;0,66837709;0,387459179
434;72,3;50;6;1,257588699;0,68899384;0,387291588
435;72,3;50;6;1,099275248;0,685383661;0,390621571
443;72,3;50;6;1,228645903;0,786006521;0,369361413
451;72,3;50;6;1,203141964;0,614947323;0,382937524
454;72,3;50;6;1,254937094;0,70114731;0,389407067
479;72,3;50;6;1,033872155;0,630516841;0,402662654
509;72,3;50;6;1,024529036;0,655817724;0,414323034
511;72,3;50;6;1,096578437;0,645754742;0,395850705
554;72,3;50;6;0,986214112;0,5;0,400892171
594;72,3;50;6;1,184056117;0,895097991;0,382282473
646;72,3;50;6;1,266482431;0,5;0,378260434
651;72,3;50;6;1,1504913;0,5;0,388465864
667;72,3;50;5;1,162770483;0,713260306;0,400505865
670;72,3;50;6;1,288574053;0,5;0,386073205
674;72,3;50;6;1,287022496;0,5;0,386331938
684;72,3;50;5;1,168697639;0,720435089;0,400388357
731;72,3;50;6;1,191678873;0,785628964;0,395293156
733;72,3;50;6;1,18620289;0,782652857;0,395548061
746;72,3;50;6;1,185653123;0,781888147;0,395605262
751;72,3;50;6;1,186608203;0,782472699;0,395525864
764;72,3;50;6;1,213092777;0,805547536;0,393106486
778;72,3;50;6;1,213168936;0,80567591;0,393023891
837;72,3;50;6;1,048056922;0,5;0,392161967
873;72,3;50;6;1,137669898;0,803138962;0,400001592
908;72,3;50;6;1,232289637;0,737121879;0,398805712
924;72,3;50;6;0,866301435;0,5;0,39152478
929;72,3;50;6;1,253645381;0,820016471;0,393171803
930;72,3;50;6;1,331993299;0,926794756;0,378977341
931;72,3;50;6;1,237363757;0,857426701;0,379213636
938;72,3;50;6;1,239575007;0,853914314;0,37971605
939;72,3;50;6;1,256898103;0,820119716;0,396363926
955;72,3;50;6;1,327504294;0,997119991;0,391602372
991;72,3;50;6;1,131005021;0,842547386;0,402030806
1036;72,3;50;6;0,998991782;0,5;0,387933882
1058;72,3;50;6;1,052404885;0,659572581;0,409676927
1095;72,3;50;6;1,050831563;0,652461173;0,391091112
1105;72,3;50;6;1,188109989;0,951944116;0,412489786
1127;72,3;50;6;1,2985319;0,813345602;0,376088907
1144;72,3;50;6;1,044074422;0,5;0,413228125
1148;72,3;50;6;1,297155505;0,809475552;0,376106726
1155;72,3;50;6;1,210993793;0,5;0,396678542
1158;72,3;50;6;1,23194906;0,5;0,399047753
1162;72,3;50;6;0,990875583;0,5;0,384764435
1163;72,3;50;6;0,990548085;0,5;0,384770114
1263;72,3;50;6;0,977955563;0,5;0,385270146
1488;72,3;50;6;1,352688944;0,695897037;0,378803447
1556;72,3;50;6;1,347659372;0,707777408;0,381709376
1606;72,3;50;6;1,136093932;0,693476436;0,378369112
1611;72,3;50;6;1,282291162;0,788003023;0,374928507
2277;72,3;50;6;1,344355802;0,895300793;0,402307875
2504;72,3;50;6;1,351862763;0,658908066;0,390915418
2523;72,3;50;6;1,323197506;0,907662939;0,405777405
2566;72,3;50;6;1,411249002;0,894592179;0,384778922
2591;72,3;50;6;1,426010994;0,678968129;0,356495942
2664;72,3;36;6;1,416910742;0,5;0,340305259
3189;72,3;28;6;1,134233406;0,5;0,346432338
3204;72,3;42;8;1,114112862;0,5;0,364986209
3241;72,3;42;8;1,109444045;0,5;0,366597247
3558;72,3;50;6;0,896166362;0,683328082;0,400025999
3565;72,3;50;6;0,895250957;0,683293324;0,400115766
3925;72,3;50;6;1,12571874;0,5;0,398288969
3927;72,3;50;6;1,270547472;0,5;0,389035075
4238;72,3;50;6;1,240306975;0,5;0,384967632
4274;72,3;50;6;1,141514468;0,5;0,39614736
4321;72,3;50;6;1,298001672;0,694211069;0,380142455
4322;72,3;50;6;1,217028098;0,802781518;0,415505132
4340;72,3;28;4;0,97899612;0,5;0,422593164
4378;72,3;29;4;0,95449196;0,5;0,436077271
4440;72,3;28;4;0,974211552;0,5;0,401542291
4678;72,3;50;6;1,189742544;0,5;0,390917009
4679;72,3;50;6;1,288073199;0,724700443;0,381710515
4770;72,3;43;4;0,950515443;0,5;0,328690709
5603;72,3;31;4;1,195328424;0,5;0,347555257
5627;72,3;38;8;0,956682566;0,5;0,342739967
5755;72,3;36;6;1,016146286;0,5;0,3403339
5834;72,3;46;3;0,929549511;0,5;0,404901755
5865;72,3;46;4;1,066792164;0,5;0,412405293
6057;72,3;37;6;1,145749018;0,5;0,337080063
6177;72,3;23;6;1,0101062;0,5;0,343981706
6646;72,3;34;5;1,452314669;0,5;0,335730767
6647;72,3;34;5;1,462189853;0,5;0,335749751
6702;72,3;43;4;0,949780449;0,5;0,432757904
7164;72,3;29;4;1,217796102;0,5;0,344161551
7257;72,3;43;4;1,029463953;0,5;0,425107291
7293;72,3;50;8;0,871853827;0,5;0,382818228
170;72,28;50;6;1,164787366;0,744037522;0,425868577
171;72,28;50;6;1,161289173;0,743167173;0,427194305
172;72,28;50;6;1,153702295;0,741032203;0,429208417
178;72,28;50;6;1,214358376;0,906040485;0,413388181
208;72,28;50;6;1,301643698;0,841857121;0,388207192
213;72,28;50;6;1,279849318;0,777360565;0,383830535
373;72,28;50;6;1,286750277;0,656235925;0,383457306
377;72,28;50;6;0,946634254;0,5;0,404163846
418;72,28;50;6;1,261358755;0,669137122;0,386708253
420;72,28;50;6;1,260353995;0,669384446;0,386885538
433;72,28;50;6;1,20142648;0,758355639;0,373066186
437;72,28;50;6;1,136948823;0,679434059;0,387579537
592;72,28;50;6;1,429781034;0,696548062;0,358493254
816;72,28;50;6;1,128976466;0,778063716;0,401071997
893;72,28;50;6;1,118106551;0,789530286;0,40316377
902;72,28;50;6;1,093521749;0,644064291;0,406598567
903;72,28;50;6;1,328785736;0,824830733;0,380123046
948;72,28;50;6;1,19587681;0,959496382;0,40504987
959;72,28;50;6;1,147677629;0,866997034;0,405256129
963;72,28;50;6;1,144325456;0,862687881;0,405186059
971;72,28;50;6;1,309727868;0,829101887;0,383655694
1005;72,28;50;6;1,126246778;0,843233243;0,404376554
1013;72,28;50;6;1,02752551;0,5;0,391677723
1034;72,28;50;6;1,131894268;0,5;0,39183521
1070;72,28;50;6;1,28255507;0,826880901;0,395281106
1110;72,28;50;6;1,312897109;0,798613464;0,380286538
1143;72,28;50;6;1,153926478;0,675726854;0,384038311
1147;72,28;50;6;1,163209042;0,5;0,38554397
1241;72,28;50;6;0,973224212;0,5;0,383966715
1247;72,28;50;6;1,081150623;0,671710602;0,385673919
1285;72,28;50;6;1,079921429;0,790031092;0,387784178
1351;72,28;50;6;1,337032153;0,882833525;0,361499238
1380;72,28;50;6;1,095228078;0,797478744;0,385088962
1391;72,28;50;6;0,83100212;0,5;0,4049401
1442;72,28;50;6;0,970747694;0,661055157;0,386465906
1590;72,28;50;6;1,412063379;0,5;0,382070757
1597;72,28;50;6;1,359610344;0,684296729;0,358092608
2665;72,28;36;6;1,416600015;0,5;0,339309414
3055;72,28;50;6;1,382163561;0,887477721;0,401205976
3207;72,28;37;4;0,989025872;0,5;0,379584679
3321;72,28;50;6;1,327806673;0,908531564;0,366847913
3452;72,28;50;6;1,226601301;0,5;0,396791588
3542;72,28;50;6;0,89840702;0,683288321;0,399707663
3628;72,28;50;6;1,326992809;0,934063912;0,404492311
3643;72,28;50;6;1,227107589;0,5;0,396923397
3771;72,28;50;6;1,223480547;0,5;0,39711524
3792;72,28;50;6;1,331886838;0,834524922;0,387072079
3944;72,28;50;6;1,179124441;0,672093372;0,408068371
3953;72,28;50;6;1,410103573;0,710322696;0,378845243
3996;72,28;50;6;1,334791942;0,5;0,381868232
4033;72,28;40;4;1,056519056;0,5;0,341476591
4193;72,28;50;6;1,207460944;0,5;0,385638209
