tukey_lambda;shrinkage_alpha_0;shrinkage_alpha_1;knn_k;kmeans_k;last_task_accuracy
0,44290321;1,153427312;2;6;40;52,88000107
0,443628421;1,025536134;1,525993134;5;42;52,88000107
0,465145486;1,084941154;1,629975028;8;36;52,88000107
0,445558698;1,101623847;1,298633706;6;41;52,88000107
0,388836305;1,084809425;2;6;27;52,88000107
0,433298592;1,08051273;1,632606714;6;31;52,88000107
0,452669389;1,133027378;1,64965565;6;40;52,88000107
0,456530782;1,210539281;1,646815608;7;40;52,88000107
0,433849888;1,232314432;1,61160353;6;42;52,88000107
0,456652486;1,145801471;1,603175181;4;36;52,88000107
0,463989047;1,23396171;1,639829593;6;42;52,86999893
0,461162537;1,224148751;1,648086378;6;40;52,86999893
0,443550778;1,152153459;1,666602926;6;42;52,86999893
0,452416964;1,017820026;2;6;27;52,86999893
0,452672197;1,258932225;2;7;38;52,86999893
0,450048616;1,199742699;2;7;38;52,86999893
0,450857497;1,335200789;2;6;37;52,86999893
0,41521855;1,08938531;1,583731202;6;29;52,86999893
0,422637248;1,105511741;2;6;29;52,86999893
0,43907014;1,216916344;1,582940859;7;40;52,86999893
0,442833138;1,272775668;2;6;40;52,86999893
0,436862704;1,142996029;1,656510642;6;40;52,86999893
0,441984775;1,341239114;2;6;40;52,86999893
0,434537777;1,077745251;2;9;50;52,86999893
0,440995946;1,076276819;1,634146334;6;40;52,86999893
0,450608388;1,214861904;1,690326765;6;40;52,86999893
0,4481203;1,158594389;1,613644158;8;35;52,86999893
0,415533163;1,001743305;1,551547636;7;27;52,86999893
0,444369901;1,056058185;1,555274808;5;42;52,86999893
0,455832268;1,215208561;1,637904163;7;40;52,86999893
0,470267374;1,112231687;2;4;42;52,86999893
0,431350032;1,506339549;2;6;38;52,8599968
0,453776711;1,147685657;1,661081773;7;42;52,8599968
0,453077484;1,133027282;1,625857587;5;42;52,8599968
0,450332056;1,163688595;1,636824036;5;42;52,8599968
0,45482226;1,183718889;2;6;50;52,8599968
0,41068096;1,054338824;2;7;30;52,8599968
0,437164047;1,402747118;1,557315286;8;36;52,8599968
0,4400126;1,411334936;1,618150353;6;36;52,8599968
0,468990048;1,234412465;1,56745236;6;38;52,8599968
0,438935061;0,938371084;1,559782067;6;30;52,8599968
0,427977125;0,997600969;1,540080014;8;25;52,8599968
0,452093789;1,004366395;1,549898764;5;30;52,8599968
0,44447592;1,182235343;1,618157331;8;35;52,8599968
0,412770572;0,906039752;1,076006279;4;50;52,8599968
0,426233684;1,128338492;2;6;29;52,8599968
0,416608179;1,036883704;1,596644444;8;30;52,8599968
0,446010385;1,213547642;1,63058269;8;36;52,8599968
0,439541617;1,131076044;2;9;50;52,8599968
0,415724648;1,135701621;1,588749529;10;50;52,8599968
0,424984129;1,006791146;1,534579941;5;38;52,8599968
0,438334837;1,330333985;1,582914158;6;36;52,8599968
0,469134271;1,261903253;1,571400889;7;40;52,8599968
0,435767829;1,121522697;1,627087587;6;40;52,8599968
0,452730092;1,214947553;2;6;40;52,8599968
0,406980401;1,096550739;2;8;28;52,8599968
0,439395371;1,107609088;2;6;40;52,8599968
0,423678324;1,216758116;2;4;39;52,8599968
0,445082847;0,997233001;1,569366621;4;50;52,8599968
0,426639046;1,226667532;1,640165654;7;40;52,8599968
0,441116864;1,162880635;1,341587665;6;41;52,8599968
0,444632396;1,193375455;1,303396843;6;40;52,8599968
0,440903519;0,888006056;1,526152407;6;30;52,8599968
0,422179862;1,136914569;2;6;31;52,8599968
0,448509706;1,186466983;1,376339065;8;41;52,8599968
0,459371783;1,199784114;2;9;36;52,84999466
0,449056799;1,344639065;1,635247425;6;42;52,84999466
0,454376402;1,290238742;1,523842577;4;36;52,84999466
0,440819007;1,122577741;1,20702424;6;42;52,84999466
0,443776125;1,079006243;1,519616273;4;41;52,84999466
0,462864427;1,039978297;1,587031779;6;43;52,84999466
0,410981723;1,054259468;2;7;30;52,84999466
0,451457273;1,142196399;1,603456671;7;38;52,84999466
0,448706157;1,205768499;1,6039864;8;38;52,84999466
0,452549579;1,028085994;1,583671953;6;39;52,84999466
0,46020983;1,392050236;2;6;38;52,84999466
0,431271356;1,114949038;1,637245461;6;29;52,84999466
0,442522941;1,04473749;1,626577592;6;28;52,84999466
0,444356106;1,229803634;1,354508944;6;40;52,84999466
0,433640044;1,036530586;2;6;32;52,84999466
0,440903143;1,056181174;1,396349676;6;41;52,84999466
0,433280613;1,275538552;1,639504695;7;40;52,84999466
0,408388768;0,96799518;1,531144591;8;27;52,84999466
0,438843098;1,114474791;1,618066993;5;41;52,84999466
0,43972339;1,156797858;1,581068882;4;41;52,84999466
0,441093462;0,870568042;1,384730725;10;35;52,84999466
0,430171072;1,189874442;2;7;38;52,84999466
