weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,0.25465234375,2.4609375,0.1953125,7,18,57.540000915527344
distance,0.75415234375,7.4609375,5.1953125,17,8,49.22999572753906
distance,0.50440234375,4.9609375,2.6953125,2,3,57.68000030517578
uniform,0.00490234375,9.9609375,7.6953125,12,13,22.420000076293945
distance,0.006853515625,4.98046875,6.77734375,6,16,33.88999938964844
uniform,0.506353515625,9.98046875,1.77734375,16,6,50.089996337890625
uniform,0.756103515625,2.48046875,9.27734375,1,1,57.55000305175781
uniform,0.256603515625,7.48046875,4.27734375,11,11,54.1099967956543
distance,0.381478515625,1.23046875,0.52734375,14,14,59.929996490478516
uniform,0.880978515625,6.23046875,5.52734375,4,4,54.14999771118164
uniform,0.631228515625,3.73046875,3.02734375,19,9,52.59000015258789
uniform,0.13172851562500001,8.73046875,8.02734375,9,19,55.12999725341797
uniform,0.194166015625,1.85546875,3.65234375,5,7,60.31999588012695
distance,0.693666015625,6.85546875,8.65234375,15,17,53.78999710083008
uniform,0.943416015625,4.35546875,1.15234375,10,12,53.22999954223633
distance,0.443916015625,9.35546875,6.15234375,20,2,53.880001068115234
uniform,0.319041015625,3.10546875,9.90234375,18,5,58.07999801635742
distance,0.818541015625,8.10546875,4.90234375,8,15,53.96000289916992
distance,0.568791015625,0.60546875,7.40234375,13,20,3.68999981880188
distance,0.06929101562500001,5.60546875,2.40234375,3,10,50.54999542236328
uniform,0.100509765625,0.29296875,8.33984375,18,12,1.5399999618530273
distance,0.600009765625,5.29296875,3.33984375,8,2,54.96999740600586
distance,0.849759765625,2.79296875,5.83984375,13,7,55.540000915527344
uniform,0.350259765625,7.79296875,0.83984375,3,17,56.040000915527344
distance,0.475134765625,4.04296875,4.58984375,1,19,59.95999526977539
distance,0.974634765625,9.04296875,9.58984375,11,9,50.61000061035156
distance,0.724884765625,1.54296875,2.08984375,6,4,59.27000045776367
uniform,0.225384765625,6.54296875,7.08984375,16,14,55.089996337890625
uniform,0.162947265625,3.41796875,1.46484375,12,3,55.829994201660156
uniform,0.662447265625,8.41796875,6.46484375,2,13,57.12000274658203
distance,0.912197265625,0.91796875,3.96484375,17,18,54.45000076293945
distance,0.412697265625,5.91796875,8.96484375,7,8,56.779998779296875
uniform,0.287822265625,2.16796875,5.21484375,10,10,61.16999816894531
uniform,0.787322265625,7.16796875,0.21484375,20,20,49.56999969482422
distance,0.537572265625,4.66796875,7.71484375,5,15,58.95999526977539
uniform,0.038072265625000004,9.66796875,2.71484375,15,5,40.97999954223633
distance,0.053681640625,2.32421875,0.99609375,16,18,46.3599967956543
uniform,0.553181640625,7.32421875,5.99609375,6,8,56.38999938964844
uniform,0.802931640625,4.82421875,3.49609375,11,3,53.78000259399414
uniform,0.303431640625,9.82421875,8.49609375,1,13,57.400001525878906
distance,0.428306640625,3.57421875,7.24609375,4,11,59.84000015258789
uniform,0.927806640625,8.57421875,2.24609375,14,1,53.34000015258789
distance,0.678056640625,1.07421875,9.74609375,9,6,6.199999809265137
distance,0.178556640625,6.07421875,4.74609375,19,16,54.709999084472656
distance,0.240994140625,4.19921875,9.12109375,15,10,57.209999084472656
distance,0.740494140625,9.19921875,4.12109375,5,20,55.839996337890625
uniform,0.990244140625,1.69921875,6.62109375,20,15,54.93000030517578
distance,0.490744140625,6.69921875,1.62109375,10,5,50.900001525878906
distance,0.365869140625,0.44921875,2.87109375,7,2,58.72999954223633
distance,0.865369140625,5.44921875,7.87109375,17,12,51.099998474121094
distance,0.615619140625,2.94921875,0.37109375,2,17,58.31999969482422
distance,0.116119140625,7.94921875,5.37109375,12,7,52.79999923706055
distance,0.084900390625,2.63671875,3.80859375,9,14,54.22999954223633
distance,0.584400390625,7.63671875,8.80859375,19,4,52.0
uniform,0.834150390625,0.13671875,1.30859375,4,9,38.52000045776367
distance,0.334650390625,5.13671875,6.30859375,14,19,57.159996032714844
distance,0.459525390625,1.38671875,7.55859375,12,16,58.16999816894531
uniform,0.959025390625,6.38671875,2.55859375,2,6,54.14999771118164
distance,0.709275390625,3.88671875,5.05859375,17,1,58.18000030517578
distance,0.209775390625,8.88671875,0.05859375,7,11,53.45999526977539
distance,0.147337890625,0.76171875,5.68359375,3,5,48.97999572753906
distance,0.646837890625,5.76171875,0.68359375,13,15,51.720001220703125
distance,0.896587890625,3.26171875,8.18359375,8,20,56.839996337890625
distance,0.397087890625,8.26171875,3.18359375,18,10,51.44000244140625
distance,0.272212890625,4.51171875,1.93359375,20,8,52.679996490478516
uniform,0.771712890625,9.51171875,6.93359375,10,18,53.78999710083008
uniform,0.521962890625,2.01171875,4.43359375,15,13,59.78999710083008
uniform,0.022462890625000002,7.01171875,9.43359375,5,3,45.87999725341797
distance,0.030267578125,0.99609375,4.98046875,13,8,35.529998779296875
uniform,0.529767578125,5.99609375,9.98046875,3,18,58.8599967956543
distance,0.779517578125,3.49609375,2.48046875,18,13,52.82999801635742
distance,0.280017578125,8.49609375,7.48046875,8,3,53.369998931884766
distance,0.404892578125,4.74609375,8.73046875,10,1,59.09999465942383
distance,0.904392578125,9.74609375,3.73046875,20,11,47.14999771118164
distance,0.654642578125,2.24609375,6.23046875,5,16,59.14999771118164
uniform,0.155142578125,7.24609375,1.23046875,15,6,50.400001525878906
distance,0.217580078125,2.87109375,5.60546875,19,19,59.88999557495117
uniform,0.717080078125,7.87109375,0.60546875,9,9,51.11000061035156
distance,0.966830078125,0.37109375,8.10546875,14,4,8.800000190734863
uniform,0.467330078125,5.37109375,3.10546875,4,14,57.87999725341797
distance,0.342455078125,1.62109375,1.85546875,2,12,62.18000030517578
distance,0.841955078125,6.62109375,6.85546875,12,2,53.119998931884766
distance,0.592205078125,4.12109375,4.35546875,7,7,56.459999084472656
uniform,0.092705078125,9.12109375,9.35546875,17,17,53.65999984741211
distance,0.123923828125,3.80859375,0.29296875,5,4,54.45000076293945
uniform,0.623423828125,8.80859375,5.29296875,15,14,52.679996490478516
uniform,0.873173828125,1.30859375,2.79296875,10,19,58.21999740600586
distance,0.373673828125,6.30859375,7.79296875,20,9,53.96999740600586
uniform,0.498548828125,0.05859375,6.54296875,17,6,1.399999976158142
uniform,0.998048828125,5.05859375,1.54296875,7,16,53.96999740600586
distance,0.748298828125,2.55859375,9.04296875,12,11,57.01000213623047
distance,0.248798828125,7.55859375,4.04296875,2,1,53.42000198364258
distance,0.186361328125,1.93359375,9.66796875,6,15,56.41999816894531
uniform,0.685861328125,6.93359375,4.66796875,16,5,51.44999694824219
distance,0.935611328125,4.43359375,7.16796875,1,10,54.89999771118164
distance,0.436111328125,9.43359375,2.16796875,11,20,53.67000198364258
distance,0.311236328125,3.18359375,3.41796875,13,17,58.989994049072266
distance,0.810736328125,8.18359375,8.41796875,3,7,55.540000915527344
uniform,0.560986328125,0.68359375,0.91796875,18,2,61.68000030517578
distance,0.061486328125,5.68359375,5.91796875,8,12,54.02000045776367
distance,0.045876953125,3.65234375,7.94921875,2,6,46.63999938964844
uniform,0.545376953125,8.65234375,2.94921875,12,16,53.65999984741211
distance,0.795126953125,1.15234375,5.44921875,7,11,54.47999954223633
distance,0.295626953125,6.15234375,0.44921875,17,1,51.30999755859375
uniform,0.420501953125,2.40234375,4.19921875,19,3,60.57999801635742
distance,0.920001953125,7.40234375,9.19921875,9,13,53.380001068115234
uniform,0.670251953125,4.90234375,1.69921875,14,18,53.29999923706055
distance,0.170751953125,9.90234375,6.69921875,4,8,54.91999816894531
uniform,0.233189453125,0.52734375,2.32421875,8,17,59.47999954223633
uniform,0.732689453125,5.52734375,7.32421875,18,7,50.93000030517578
uniform,0.982439453125,3.02734375,4.82421875,3,2,55.73999786376953
uniform,0.482939453125,8.02734375,9.82421875,13,12,55.089996337890625
uniform,0.358064453125,4.27734375,6.07421875,11,15,58.31999969482422
distance,0.857564453125,9.27734375,1.07421875,1,5,54.130001068115234
distance,0.607814453125,1.77734375,8.57421875,16,10,56.909996032714844
distance,0.108314453125,6.77734375,3.57421875,6,20,55.209999084472656
uniform,0.077095703125,1.46484375,7.01171875,15,2,45.380001068115234
uniform,0.576595703125,6.46484375,2.01171875,5,12,55.769996643066406
uniform,0.826345703125,3.96484375,9.51171875,20,17,54.529998779296875
distance,0.326845703125,8.96484375,4.51171875,10,7,52.739994049072266
distance,0.451720703125,2.71484375,0.76171875,7,9,56.93000030517578
uniform,0.951220703125,7.71484375,5.76171875,17,19,49.81999969482422
distance,0.701470703125,0.21484375,3.26171875,2,14,3.759999990463257
distance,0.201970703125,5.21484375,8.26171875,12,4,55.54999542236328
distance,0.139533203125,4.58984375,2.63671875,16,13,56.150001525878906
distance,0.639033203125,9.58984375,7.63671875,6,3,53.40999984741211
uniform,0.888783203125,2.08984375,0.13671875,11,8,55.44999694824219
uniform,0.389283203125,7.08984375,5.13671875,1,18,58.88999557495117
uniform,0.264408203125,0.83984375,8.88671875,4,20,35.76000213623047
uniform,0.763908203125,5.83984375,3.88671875,14,10,51.58000183105469
distance,0.514158203125,3.33984375,6.38671875,9,5,57.22999572753906
distance,0.014658203125000002,8.33984375,1.38671875,19,15,33.3599967956543
uniform,0.010755859375,1.66015625,9.00390625,10,3,29.020000457763672
distance,0.510255859375,6.66015625,4.00390625,20,13,52.429996490478516
uniform,0.760005859375,4.16015625,6.50390625,5,18,57.61000061035156
distance,0.260505859375,9.16015625,1.50390625,15,8,49.62999725341797
uniform,0.385380859375,2.91015625,2.75390625,13,6,56.83000183105469
uniform,0.884880859375,7.91015625,7.75390625,3,16,55.63999938964844
uniform,0.635130859375,0.41015625,0.25390625,18,11,57.959999084472656
distance,0.135630859375,5.41015625,5.25390625,8,1,56.55999755859375
distance,0.198068359375,4.78515625,0.87890625,1,14,56.63999938964844
distance,0.697568359375,9.78515625,5.87890625,11,4,50.589996337890625
distance,0.947318359375,2.28515625,3.37890625,6,9,57.62999725341797
distance,0.447818359375,7.28515625,8.37890625,16,19,55.459999084472656
distance,0.322943359375,1.03515625,7.12890625,19,17,56.339996337890625
uniform,0.822443359375,6.03515625,2.12890625,9,7,51.220001220703125
distance,0.572693359375,3.53515625,9.62890625,14,2,57.91999816894531
uniform,0.073193359375,8.53515625,4.62890625,4,12,51.939998626708984
uniform,0.104412109375,3.22265625,6.19140625,17,9,56.72999572753906
