weight,shrinkage_alpha_0,knn_k,kmeans_k,last_task_accuracy
distance,9.413057485428045,1,5,86.65999603271484
uniform,8.932245340943524,1,1,86.73999786376953
distance,6.180283952099719,1,1,86.81999969482422
distance,4.365672830048482,20,1,86.80999755859375
distance,2.7014855545186034,4,16,86.65999603271484
distance,4.203066987934116,14,1,86.7699966430664
uniform,7.491857915633804,1,8,86.70999908447266
uniform,2.4305149487909397,1,12,86.32999420166016
uniform,3.1010480310352357,20,20,86.29999542236328
distance,7.285915467194112,1,1,86.77999877929688
distance,4.829130452446271,20,1,86.77999877929688
uniform,4.63800520527617,20,1,86.82999420166016
uniform,4.180398957968401,20,1,86.7699966430664
uniform,4.664056176326373,11,1,86.81999969482422
distance,4.916461017211071,1,8,86.7699966430664
uniform,8.000698900200499,1,11,86.62999725341797
distance,8.615461561348702,1,20,86.32999420166016
uniform,5.026771550619273,20,1,86.75999450683594
uniform,6.689102068255794,1,1,86.8699951171875
uniform,6.613288030112335,1,1,86.85999298095703
uniform,4.940681836413033,1,14,86.57999420166016
uniform,6.808827695171582,1,1,86.82999420166016
uniform,6.089057023983661,1,1,86.82999420166016
distance,6.592332429359442,1,1,86.82999420166016
uniform,8.556695395820414,20,1,86.73999786376953
uniform,6.472505605709657,1,1,86.80999755859375
distance,7.541315285704572,13,20,86.48999786376953
uniform,4.529697271234971,6,1,86.80999755859375
uniform,3.7014696432367957,10,17,86.62999725341797
distance,4.654900992461528,13,1,86.81999969482422
uniform,6.679036607795083,1,3,86.43999481201172
distance,7.570276267612731,1,17,86.58999633789062
uniform,8.261023398752156,1,4,86.5999984741211
uniform,10.0,20,18,86.15999603271484
distance,8.539074822350768,1,9,86.81999969482422
distance,1.5646741167481775,1,10,86.3699951171875
distance,5.94291885621404,20,12,86.17999267578125
distance,9.375730045213817,1,7,86.60999298095703
uniform,10.0,1,4,86.60999298095703
uniform,5.285066051758541,1,17,86.70999908447266
distance,6.081673206274145,1,9,86.93999481201172
uniform,6.094695913096602,1,10,86.7699966430664
distance,6.499572942561126,1,10,86.78999328613281
distance,5.765573221041733,1,9,86.90999603271484
uniform,2.0377781983002614,1,7,86.44999694824219
distance,6.051196267909463,1,8,86.72999572753906
uniform,6.729909108407787,20,16,86.42999267578125
distance,2.906667602474475,1,18,86.50999450683594
uniform,2.884942806698469,20,16,86.1199951171875
uniform,3.523271649647335,1,15,86.68999481201172
uniform,9.607058487704327,20,5,86.17999267578125
uniform,7.624084652505088,1,15,86.57999420166016
distance,6.415834148167077,1,15,86.6199951171875
distance,8.255971867614143,20,16,86.33999633789062
uniform,4.410215264242362,1,17,86.75
distance,2.4520387073948697,1,6,86.5999984741211
uniform,5.049722426835617,20,16,86.3699951171875
distance,7.932676447171949,1,10,86.75999450683594
distance,10.0,1,13,86.56999969482422
distance,9.059255915851033,1,13,86.56999969482422
distance,5.995387650495699,11,9,86.39999389648438
distance,6.633543919413578,20,1,86.85999298095703
distance,7.7470804431526075,1,5,86.77999877929688
uniform,6.300248008559727,20,1,86.81999969482422
distance,5.889291722305302,1,10,86.7199935913086
uniform,6.416405328348436,1,9,86.97999572753906
uniform,4.6813525898826045,1,10,86.70999908447266
uniform,6.205693545605795,1,9,86.95999908447266
uniform,6.555737522717031,1,9,86.98999786376953
distance,4.446864267432595,1,12,86.5999984741211
uniform,5.479899401405243,1,4,86.63999938964844
uniform,6.600853967319482,1,9,86.97999572753906
uniform,2.6552853322859034,1,3,86.41999816894531
uniform,10.0,1,15,86.41999816894531
distance,3.301607667732383,1,7,86.68999481201172
uniform,10.0,1,11,86.53999328613281
uniform,6.50799307958437,1,9,86.97999572753906
distance,6.355577852648033,10,18,86.60999298095703
distance,6.655785699999721,1,9,86.9699935913086
uniform,6.688311759397905,1,9,86.95999908447266
uniform,5.365543482228723,1,9,86.88999938964844
distance,0.0,1,11,77.4800033569336
distance,4.6835190198803005,20,11,85.80999755859375
distance,2.6912253640278827,1,14,86.31999206542969
distance,2.1469268467772578,1,10,86.55999755859375
distance,6.458966634996565,1,9,86.98999786376953
distance,6.464144706020145,1,9,86.98999786376953
distance,6.46612352274486,1,9,86.98999786376953
distance,7.1648556872756455,20,14,86.38999938964844
uniform,6.326519443385413,1,17,86.68999481201172
distance,6.467476183056107,1,9,86.98999786376953
distance,6.468302160083084,1,9,86.98999786376953
uniform,8.433803203131138,1,18,86.44999694824219
uniform,3.6428725979020586,1,9,86.75999450683594
uniform,3.811469206480652,1,13,86.50999450683594
distance,3.97556548038865,1,9,86.79999542236328
distance,6.470042112683484,1,9,86.98999786376953
distance,6.47050360835565,1,9,86.98999786376953
distance,6.4710059651829,1,9,86.98999786376953
distance,5.914786716930072,20,1,86.83999633789062
distance,6.471236387964467,1,9,86.98999786376953
distance,6.471985411892258,1,9,86.98999786376953
distance,6.473038829204417,1,9,86.98999786376953
distance,3.802499151215785,1,16,86.75
distance,6.474409690272507,1,9,86.98999786376953
distance,6.47625051524191,1,9,86.98999786376953
distance,9.17464836580916,1,16,86.5999984741211
uniform,9.288985506375075,1,3,86.3699951171875
distance,6.4732617299204005,1,9,86.98999786376953
distance,1.9206867888539918,20,12,85.65999603271484
distance,6.477133107536975,1,9,86.98999786376953
distance,5.639872618394226,1,16,86.68999481201172
distance,6.480705766703611,1,9,86.98999786376953
uniform,9.523855865127931,20,20,86.17999267578125
uniform,8.020233717296856,20,5,86.31999206542969
distance,8.333793420819157,1,16,86.5999984741211
distance,6.487389026520846,1,9,86.97999572753906
uniform,2.7579764969562612,1,8,86.55999755859375
distance,6.419579570347423,1,9,86.97999572753906
distance,4.9852293948543815,7,18,86.62999725341797
distance,6.511981557970455,1,9,86.97999572753906
distance,3.9864628646830615,1,7,86.68999481201172
uniform,2.2435181154608035,1,16,86.66999816894531
distance,5.255696410895253,1,9,86.83999633789062
uniform,5.827072590353212,13,17,86.48999786376953
distance,7.361270799870483,20,18,86.3699951171875
