weight,shrinkage_alpha_0,knn_k,kmeans_k,last_task_accuracy
distance,8.84765625,16,16,86.30999755859375
uniform,6.34765625,1,1,86.80999755859375
distance,1.34765625,11,11,85.7199935913086
uniform,1.97265625,10,2,86.2199935913086
distance,6.97265625,20,12,86.06999206542969
distance,9.47265625,5,7,86.37999725341797
uniform,4.47265625,15,17,86.41999816894531
uniform,3.22265625,3,15,86.50999450683594
uniform,8.22265625,13,5,85.72999572753906
uniform,5.72265625,8,20,86.75999450683594
uniform,0.72265625,18,10,84.04000091552734
uniform,1.03515625,7,13,85.64999389648438
uniform,6.03515625,17,3,86.47999572753906
distance,8.53515625,2,18,86.4699935913086
distance,3.53515625,12,8,86.3499984741211
uniform,4.78515625,4,5,86.60999298095703
uniform,9.78515625,14,15,86.27999877929688
uniform,7.28515625,9,10,86.52999877929688
distance,2.28515625,19,20,86.19999694824219
uniform,1.66015625,1,9,86.33999633789062
distance,6.66015625,11,19,86.53999328613281
distance,9.16015625,6,4,86.52999877929688
distance,4.16015625,16,14,86.5199966430664
distance,2.91015625,8,17,86.5999984741211
uniform,7.91015625,18,7,84.6199951171875
uniform,5.41015625,3,12,86.58999633789062
distance,0.41015625,13,2,84.33999633789062
uniform,0.56640625,9,7,84.26000213623047
uniform,5.56640625,19,17,86.2699966430664
uniform,8.06640625,4,2,86.20999908447266
uniform,3.06640625,14,12,86.24999237060547
uniform,4.31640625,2,19,86.40999603271484
distance,9.31640625,12,9,86.47999572753906
distance,6.81640625,7,14,86.62999725341797
distance,1.81640625,17,4,85.67999267578125
uniform,2.44140625,5,13,86.64999389648438
uniform,7.44140625,15,3,86.41999816894531
uniform,9.94140625,10,18,86.50999450683594
distance,4.94140625,20,8,85.77999877929688
distance,3.69140625,8,1,86.7699966430664
distance,8.69140625,18,11,85.94999694824219
uniform,6.19140625,3,6,86.44999694824219
distance,1.19140625,13,16,85.5999984741211
distance,0.87890625,2,4,85.65999603271484
uniform,5.87890625,12,14,86.5999984741211
uniform,8.37890625,7,9,86.44999694824219
uniform,3.37890625,17,19,86.38999938964844
distance,4.62890625,10,11,86.53999328613281
distance,9.62890625,20,1,86.7199935913086
distance,7.12890625,5,16,86.64999389648438
uniform,2.12890625,15,6,85.13999938964844
distance,1.50390625,6,18,86.29999542236328
distance,6.50390625,16,8,85.83999633789062
uniform,9.00390625,1,13,86.57999420166016
distance,4.00390625,11,3,86.50999450683594
distance,2.75390625,4,10,86.67999267578125
distance,7.75390625,14,20,86.45999908447266
distance,5.25390625,9,5,85.7699966430664
distance,0.25390625,19,15,83.38999938964844
distance,0.17578125,6,5,83.41999816894531
uniform,5.17578125,16,15,86.52999877929688
distance,7.67578125,1,10,86.77999877929688
distance,2.67578125,11,20,86.4699935913086
distance,3.92578125,4,12,86.70999908447266
uniform,8.92578125,14,2,86.50999450683594
uniform,6.42578125,9,17,86.6199951171875
uniform,1.42578125,19,7,84.05999755859375
distance,2.05078125,3,16,86.44999694824219
distance,7.05078125,13,6,85.6199951171875
uniform,9.55078125,8,11,86.49999237060547
uniform,4.55078125,18,1,86.81999969482422
distance,3.30078125,10,8,86.54999542236328
uniform,8.30078125,20,18,86.27999877929688
distance,5.80078125,5,3,86.25999450683594
distance,0.80078125,15,13,84.79999542236328
uniform,1.11328125,5,6,85.64999389648438
distance,6.11328125,15,16,86.37999725341797
distance,8.61328125,10,1,86.73999786376953
uniform,3.61328125,20,11,85.7199935913086
distance,4.86328125,7,19,86.65999603271484
uniform,9.86328125,17,9,84.68000030517578
distance,7.36328125,2,14,86.56999969482422
distance,2.36328125,12,4,85.90999603271484
uniform,1.73828125,8,15,86.27999877929688
distance,6.73828125,18,5,85.72999572753906
distance,9.23828125,3,20,86.64999389648438
uniform,4.23828125,13,10,86.3499984741211
distance,2.98828125,1,3,86.42999267578125
uniform,7.98828125,11,13,86.3499984741211
distance,5.48828125,6,8,86.5999984741211
distance,0.48828125,16,18,84.66999816894531
uniform,0.33203125,1,11,85.02999877929688
uniform,5.33203125,11,1,86.7699966430664
uniform,7.83203125,6,16,86.73999786376953
uniform,2.83203125,16,6,85.25999450683594
distance,4.08203125,9,3,86.4699935913086
distance,9.08203125,19,13,86.04999542236328
distance,6.58203125,4,8,86.73999786376953
distance,1.58203125,14,18,86.04999542236328
distance,2.20703125,7,9,86.25999450683594
distance,7.20703125,17,19,86.30999755859375
uniform,9.70703125,2,4,86.60999298095703
uniform,4.70703125,12,14,86.6199951171875
uniform,3.45703125,5,17,86.65999603271484
uniform,8.45703125,15,7,84.94999694824219
uniform,5.95703125,10,12,86.43999481201172
distance,0.95703125,20,2,85.3699951171875
distance,0.64453125,9,20,85.30999755859375
distance,5.64453125,19,10,85.3699951171875
distance,8.14453125,4,15,86.5199966430664
uniform,3.14453125,14,5,85.99999237060547
uniform,4.39453125,2,7,86.67999267578125
uniform,9.39453125,12,17,86.3699951171875
uniform,6.89453125,7,2,86.50999450683594
uniform,1.89453125,17,12,85.69999694824219
uniform,1.26953125,3,1,85.94999694824219
distance,6.26953125,13,11,86.47999572753906
distance,8.76953125,8,6,86.48999786376953
distance,3.76953125,18,16,86.45999908447266
uniform,2.51953125,6,14,86.54999542236328
uniform,7.51953125,16,4,86.44999694824219
uniform,5.01953125,1,19,86.45999908447266
uniform,0.01953125,11,9,81.97999572753906
uniform,0.029296875,6,20,83.51000213623047
distance,5.029296875,16,10,86.17999267578125
distance,7.529296875,1,15,86.57999420166016
uniform,2.529296875,11,5,85.8499984741211
uniform,3.779296875,3,7,86.60999298095703
uniform,8.779296875,13,17,86.31999206542969
distance,6.279296875,8,2,86.49999237060547
distance,1.279296875,18,12,85.3499984741211
uniform,1.904296875,2,1,86.25999450683594
distance,6.904296875,12,11,86.56999969482422
distance,9.404296875,7,6,86.37999725341797
uniform,4.404296875,17,16,86.37999725341797
uniform,3.154296875,9,13,86.43999481201172
uniform,8.154296875,19,3,86.41999816894531
uniform,5.654296875,4,18,86.78999328613281
distance,0.654296875,14,8,84.06999969482422
uniform,0.966796875,5,11,85.60999298095703
uniform,5.966796875,15,1,86.83999633789062
distance,8.466796875,10,16,86.52999877929688
distance,3.466796875,20,6,85.58999633789062
distance,4.716796875,7,4,86.0999984741211
uniform,9.716796875,17,14,86.27999877929688
distance,7.216796875,2,9,86.88999938964844
distance,2.216796875,12,19,86.38999938964844
uniform,1.591796875,9,10,85.95999908447266
uniform,6.591796875,19,20,86.23999786376953
uniform,9.091796875,4,5,86.45999908447266
uniform,4.091796875,14,15,86.56999969482422
uniform,2.841796875,1,18,86.48999786376953
distance,7.841796875,11,8,86.40999603271484
distance,5.341796875,6,13,86.72999572753906
uniform,0.341796875,16,3,84.83000183105469
uniform,0.498046875,1,6,85.32999420166016
uniform,5.498046875,11,16,86.41999816894531
distance,7.998046875,6,1,86.73999786376953
uniform,2.998046875,16,11,85.97999572753906
uniform,4.248046875,8,18,86.66999816894531
distance,9.248046875,18,8,85.69999694824219
distance,6.748046875,3,13,86.65999603271484
uniform,1.748046875,13,3,86.04999542236328
distance,2.373046875,7,14,86.41999816894531
uniform,7.373046875,17,4,86.47999572753906
uniform,9.873046875,2,19,86.30999755859375
uniform,4.873046875,12,9,86.33999633789062
distance,3.623046875,5,2,86.35999298095703
distance,8.623046875,15,12,86.28999328613281
uniform,6.123046875,10,7,86.39999389648438
distance,1.123046875,20,17,85.40999603271484
uniform,0.810546875,10,5,84.66999816894531
uniform,5.810546875,20,15,86.40999603271484
distance,8.310546875,5,10,86.57999420166016
distance,3.310546875,15,20,86.40999603271484
distance,4.560546875,3,12,86.57999420166016
uniform,9.560546875,13,2,86.48999786376953
distance,7.060546875,8,17,86.65999603271484
uniform,2.060546875,18,7,84.47999572753906
uniform,1.435546875,4,16,86.29999542236328
uniform,6.435546875,14,6,85.4699935913086
uniform,8.935546875,9,11,86.41999816894531
uniform,3.935546875,19,1,86.75
uniform,2.685546875,6,9,86.57999420166016
uniform,7.685546875,16,19,86.33999633789062
uniform,5.185546875,1,4,86.6199951171875
distance,0.185546875,11,14,83.81999969482422
uniform,0.263671875,3,3,83.77999877929688
distance,5.263671875,13,13,86.5199966430664
uniform,7.763671875,8,8,86.54999542236328
distance,2.763671875,18,18,86.29999542236328
uniform,4.013671875,6,11,86.5199966430664
distance,9.013671875,16,1,86.75
distance,6.513671875,1,16,86.66999816894531
uniform,1.513671875,11,6,84.66999816894531
uniform,2.138671875,10,17,86.4699935913086
uniform,7.138671875,20,7,84.68000030517578
uniform,9.638671875,5,12,86.37999725341797
distance,4.638671875,15,2,86.5199966430664
distance,3.388671875,2,10,86.79999542236328
distance,8.388671875,12,20,86.52999877929688
uniform,5.888671875,7,5,86.27999877929688
uniform,0.888671875,17,15,84.97000122070312
uniform,1.201171875,8,8,85.7699966430664
uniform,6.201171875,18,18,86.3699951171875
distance,8.701171875,3,3,86.30999755859375
uniform,3.701171875,13,13,86.30999755859375
distance,4.951171875,5,20,86.73999786376953
uniform,9.951171875,15,10,86.06999206542969
distance,7.451171875,10,15,86.56999969482422
