shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
10.0,9.999999999999998,1,2,63.247291564941406
7.255600148139988,0.0,21,12,61.698585510253906
10.0,0.0,39,1,63.696922302246094
9.75470956233964,0.0,50,1,63.6469612121582
3.4532156930418245,10.0,1,34,59.98334884643555
8.653958477677413,0.0,1,22,61.082435607910156
7.52134579949606,5.463830251644515,50,1,63.34721374511719
10.0,0.0,11,1,63.696922302246094
10.0,0.0,1,30,60.616153717041016
9.406090119287521,5.813667200646214,1,1,63.59700393676758
8.550532114451004,4.218931887200432,1,1,63.513736724853516
4.602194286642242,10.0,50,5,59.71690368652344
9.232851159824618,2.8603572529981354,1,1,63.59700393676758
8.050611325473282,10.0,1,3,59.134056091308594
8.932667223619607,2.549134635200388,50,1,63.54704666137695
9.801727428438227,4.70592592646157,1,1,63.6469612121582
6.712209705517055,5.22268998189852,50,1,62.964202880859375
10.0,1.7016499573251254,22,1,63.696922302246094
10.0,8.045915467521255,14,1,63.680267333984375
7.858789515632784,0.0,35,8,59.96669387817383
7.881730893799888,10.0,1,31,60.049957275390625
10.0,1.4396494638846113,37,1,63.696922302246094
4.707391632346854,0.0,1,17,61.348880767822266
8.533092330153561,0.0,1,1,63.49708938598633
2.546524415522508,10.0,1,13,59.4837646484375
10.0,4.9069456301963115,1,1,63.680267333984375
3.859929709323189,0.0,1,3,61.26560974121094
6.583822619037981,10.0,49,12,59.10075378417969
10.0,1.160061967141396,1,1,63.696922302246094
7.0186278481260675,10.0,1,38,60.69942092895508
5.135721809599873,10.0,1,37,60.582847595214844
10.0,2.2630586791631493,50,14,60.03330993652344
10.0,1.335486836559092,11,1,63.696922302246094
10.0,10.0,50,29,60.33305358886719
5.015750729044909,10.0,50,28,58.61781692504883
10.0,9.999999999999998,1,32,60.666114807128906
10.0,7.789237091487083,38,1,63.696922302246094
9.563713451920183,3.862281035377633,50,1,63.630313873291016
10.0,0.8007819580770205,44,1,63.696922302246094
10.0,0.9216742631027081,26,1,63.696922302246094
10.0,1.0148435552894055,50,1,63.696922302246094
10.0,0.0,14,1,63.696922302246094
9.539901899895066,4.156631713226948,26,1,63.630313873291016
10.0,8.157365871818513,44,1,63.680267333984375
10.0,6.497048734818556,38,1,63.696922302246094
10.0,0.8876398174534179,18,1,63.696922302246094
10.0,0.0,37,1,63.696922302246094
3.3354124664405616,10.0,1,30,60.03330993652344
8.108158627689967,3.2864523141735176,50,1,63.413822174072266
10.0,0.8411494495692304,33,1,63.696922302246094
10.0,0.0,1,9,62.2647819519043
6.795712574536438,0.0,50,28,59.38385009765625
10.0,0.897480679939039,50,1,63.696922302246094
10.0,0.0,17,1,63.696922302246094
8.989531037882074,10.0,1,40,54.95420837402344
10.0,0.0,1,5,62.531227111816406
7.4119892898717215,0.0,1,38,60.566200256347656
10.0,1.0226166665646423,1,1,63.696922302246094
10.0,0.0,50,2,62.88093185424805
10.0,0.0,32,1,63.696922302246094
9.822224027799919,7.036865624488705,36,1,63.6469612121582
10.0,0.924994976286546,9,1,63.696922302246094
10.0,7.231533648264007,31,1,63.696922302246094
10.0,0.7540412800370678,21,1,63.696922302246094
10.0,0.5995621452159059,41,1,63.696922302246094
10.0,2.048516071958208,33,1,63.696922302246094
10.0,0.0,31,1,63.696922302246094
6.907904071158976,0.0,1,6,62.29808807373047
10.0,6.6657629330436885,50,1,63.696922302246094
5.307903356677914,3.8274142518814758,1,5,62.19816970825195
10.0,0.0,41,1,63.696922302246094
10.0,0.0,8,1,63.696922302246094
4.164559362208686,10.0,1,7,61.2323112487793
10.0,0.0,50,1,63.696922302246094
10.0,0.0,21,1,63.696922302246094
10.0,1.0474728077734732,32,1,63.696922302246094
10.0,0.0,43,1,63.696922302246094
10.0,0.0,12,1,63.696922302246094
5.991913323495179,10.0,50,1,62.66444778442383
10.0,0.0,25,1,63.696922302246094
7.088609487299298,0.0,1,21,60.999168395996094
10.0,0.8590378538153736,32,1,63.696922302246094
10.0,0.8641919637876361,31,1,63.696922302246094
10.0,0.8059375973121581,45,1,63.696922302246094
8.247587960758992,10.0,45,21,54.93755340576172
2.978328704907607,10.0,1,21,59.950042724609375
4.254256385302474,0.0,1,30,60.29975509643555
4.286549340930321,10.0,50,35,57.818485260009766
7.847827266244045,0.0,1,17,61.865116119384766
3.5583053548933883,0.0,50,23,57.48543167114258
6.667954097936507,5.514188926245149,1,15,61.89842224121094
5.153658245624487,0.0,50,1,61.915069580078125
3.0555526609284716,10.0,50,1,60.29975509643555
9.794102309953232,8.446016548788577,1,1,63.6469612121582
8.861728089637465,2.8698004604839324,18,1,63.530391693115234
10.0,0.0,11,1,63.696922302246094
5.997050789030363,0.0,1,1,62.66444778442383
10.0,0.0,50,1,63.696922302246094
9.859645521856152,0.0,20,1,63.663612365722656
10.0,0.0,32,1,63.696922302246094
10.0,0.0,50,1,63.696922302246094
10.0,0.0,6,1,63.696922302246094
10.0,6.783335464157712,40,1,63.696922302246094
8.932868854343056,0.0,50,1,63.54704666137695
10.0,0.9141751915225813,3,1,63.696922302246094
10.0,5.341794114823999,1,7,62.747711181640625
10.0,0.0,31,1,63.696922302246094
10.0,2.373110454006053,15,1,63.696922302246094
10.0,0.0,42,1,63.696922302246094
10.0,0.0,19,1,63.696922302246094
10.0,0.0,24,1,63.696922302246094
10.0,1.585980378607088e-14,50,1,63.696922302246094
10.0,1.972352457204806,8,1,63.696922302246094
7.852315634125025,0.0,1,2,62.847625732421875
10.0,1.386039247833422,12,1,63.696922302246094
10.0,0.0,40,1,63.696922302246094
10.0,1.6995651685738162e-11,50,1,63.696922302246094
10.0,6.977144793821886,35,1,63.696922302246094
10.0,0.0,40,1,63.696922302246094
10.0,0.0001643978924816205,50,1,63.696922302246094
10.0,0.0,25,1,63.696922302246094
10.0,0.0,25,1,63.696922302246094
10.0,0.0,29,1,63.696922302246094
10.0,0.0,35,1,63.696922302246094
10.0,0.0,31,1,63.696922302246094
10.0,0.0,39,1,63.696922302246094
5.849608355837552,0.0,1,37,60.865943908691406
10.0,7.148444590730131,37,1,63.696922302246094
10.0,2.2267051445159725,26,1,63.696922302246094
10.0,0.0,50,1,63.696922302246094
10.0,0.0,17,1,63.696922302246094
10.0,0.0,42,1,63.696922302246094
10.0,0.0,8,1,63.696922302246094
10.0,0.0,33,1,63.696922302246094
10.0,0.0,20,1,63.696922302246094
10.0,1.0044258092185103,50,1,63.696922302246094
