tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
0.4541671490217887,1.0557718952813588,1.4109245816836566,7,35,52.63999557495117
0.4764040796536627,0.5,2.0,31,50,50.540000915527344
0.44874273129586517,0.9847439822730749,1.6120612777181256,9,33,52.369998931884766
0.4447361460995263,1.333403125928052,2.0,8,31,52.5099983215332
0.3986105744065792,0.7484133625431627,0.5,11,50,51.91999816894531
0.42284641289981617,1.1201113502735582,1.445493060709204,6,34,52.70000076293945
0.43508517417142706,1.1338614085063832,1.5050146296979643,7,39,52.70000076293945
0.6,1.1896838622443764,2.0,13,20,51.089996337890625
0.4087667170469655,0.951244280418529,1.2511897957395797,7,34,52.59999465942383
0.46894469801340244,1.2196694539429807,1.5774140235879706,7,35,52.59000015258789
0.4236632655936639,1.1003937032753517,1.7188107677243485,7,37,52.48999786376953
0.3,2.0,0.5,10,20,50.05999755859375
0.43258413456414135,1.2370033438766062,1.467807833633088,5,30,52.53999710083008
0.3,2.0,0.5,39,20,46.73999786376953
0.4517137351253998,1.0997854921295538,2.0,50,50,50.44999694824219
0.4564084397928684,0.9937380370366257,1.2700075445851766,8,37,52.77000045776367
0.4303866462343154,0.8553133652881885,1.153926190882835,8,32,52.63999557495117
0.3,1.4537438624627537,2.0,17,50,51.349998474121094
0.45637194400867326,0.9967481617252145,1.274959250942752,8,37,52.7599983215332
0.4526208356223239,1.0315650005684895,1.2880363371785644,7,37,52.739994049072266
0.45170680100531435,0.9609741231618847,1.232321961975018,8,38,52.70999526977539
0.451396655953873,1.0110539353371093,1.2522295287192482,7,33,52.56999588012695
0.6,2.0,2.0,50,50,48.599998474121094
0.4902704034613654,1.19745577807372,1.9999999999999998,7,37,52.429996490478516
0.43548839208527423,0.902080827768763,1.2494450632166114,10,38,52.57999801635742
0.43576334460850974,1.1280304685618185,1.3617521977156897,8,41,52.95999526977539
0.3,1.3229784566404688,2.0,14,20,51.720001220703125
0.3,0.5,2.0,50,50,47.64999771118164
0.6,1.0781301148784412,1.9999999999999998,6,50,51.459999084472656
0.3970953241144556,1.536640669681998,2.0,9,20,52.03999710083008
0.6,1.2177424086160142,0.5,7,50,50.94999694824219
0.4040915947897089,1.4629558549101351,2.0,37,50,51.019996643066406
0.40927611063368885,1.1347605838452595,2.0,18,20,51.7599983215332
0.4197245961626682,0.6487844900532034,0.5,11,20,52.06999969482422
0.47513061620897135,1.0570677865616809,1.4066522334636786,8,50,52.38999557495117
0.4919805011812634,0.9872910406033548,2.0,17,50,51.77000045776367
0.6,1.5373510435158138,2.0,17,50,50.86000061035156
0.3686526331737615,0.8889217381941408,1.3245965518697111,11,20,52.0099983215332
0.6,1.3364801288478139,2.0,1,20,50.76000213623047
0.4081169836970428,1.5472660390253166,1.404253812933542,10,50,52.07999801635742
0.3,1.2407756001550068,2.0,1,37,51.47999954223633
0.5999999999999999,0.5,0.5,30,50,49.409996032714844
0.5999999999999999,0.5,0.5,1,50,49.439998626708984
0.3,0.5,2.0,1,20,48.63999938964844
0.3551873944808134,1.458713816945873,1.0336761174642288,1,20,51.41999816894531
0.35382439839032925,1.642281673917482,2.0,8,35,52.209999084472656
0.36370513780662717,1.2184768902880716,1.4788582079600099,9,33,52.2599983215332
0.4642196303475037,0.9235857809416033,1.1832152879165898,38,50,51.220001220703125
0.3,2.0,0.5,1,50,49.81999969482422
0.4993673357081542,1.2767944711477666,1.436826478168158,7,37,52.14999771118164
0.43519259346651523,1.050714574853106,2.0,5,50,52.56999588012695
0.40671456092519953,1.0723944054827699,1.5066565766626787,7,50,52.52000045776367
0.4629347129854632,1.020584186106296,2.0,6,42,52.679996490478516
0.42159955637216406,1.1614235770585122,2.0,5,40,52.64999771118164
0.44826898732581155,1.7701019137903735,2.0,11,35,52.0099983215332
0.4683586010423887,0.9563650874457297,2.0,6,50,52.54999923706055
0.3,2.0,2.0,13,50,51.08000183105469
0.3,0.5,0.5,31,50,49.94999694824219
0.4734862614808897,0.9796403226834258,2.0,7,38,52.52000045776367
0.4012461517615564,1.141741225013023,2.0,6,50,52.53999710083008
0.46087639791708207,1.1689981518006978,2.0,7,50,52.7599983215332
0.44713763723496014,1.1307578847953397,1.5320509451201816,6,50,52.77000045776367
0.44811563452095904,0.9368599464682739,1.3917841808234488,7,50,52.41999816894531
0.44634754258732084,1.1594407779751723,2.0,5,42,52.679996490478516
0.46184456478142527,1.1830892250307752,2.0,7,50,52.689998626708984
0.42388061761906304,1.211327002120864,2.0,6,41,52.77000045776367
0.4292679827165088,1.0961253203031078,2.0,7,41,52.739994049072266
0.4743439195104109,1.0741360894157024,2.0,2,50,51.459999084472656
0.40233386483109235,1.3345253067652616,2.0,7,50,52.40999984741211
0.4067320628122714,1.4325258869552417,2.0,23,50,51.720001220703125
0.4459323213585108,1.0842173462545073,2.0,9,50,52.7599983215332
0.32334307563468023,1.1615325772274634,0.5,19,20,50.44999694824219
0.3,0.5,0.5,1,50,49.8599967956543
0.6,2.0,0.5,1,20,50.029998779296875
0.4326720970648324,1.096842419955628,2.0,8,42,52.929996490478516
0.4324666691309113,1.0969332101755807,2.0,8,42,52.91999435424805
0.432891344851773,1.0976775783850823,2.0,8,42,52.91999435424805
0.43414450582394737,1.1000141351920236,2.0,8,42,52.90999984741211
0.4410830124189125,1.1174240287829607,2.0,8,43,52.749996185302734
0.4149835240183052,1.0700132300291074,1.9999999999999998,7,40,52.619998931884766
0.4521244629786905,1.1479681319680302,2.0,8,43,52.65999984741211
0.4352310307531062,1.0629361480821649,2.0,9,50,52.739994049072266
0.4306212313675515,1.086906703106191,1.6753510113191072,9,50,52.71999740600586
0.4656503963598495,1.0722709138151982,2.0,9,44,52.41999816894531
0.441084328772546,0.8945083903245845,0.5,6,20,52.15999984741211
0.4011970979663248,1.0590262297848256,2.0,8,50,52.77000045776367
0.4032238338694885,1.084712469868919,2.0,7,41,52.54999923706055
0.426825023362467,1.1453028061346224,1.5950983358147188,8,50,52.72999954223633
0.39539522917101033,0.5,0.5,25,20,50.5
0.41542172047872267,0.9952825539148005,1.596253228311158,8,50,52.57999801635742
0.5999999999999999,1.038899130564317,2.0,42,50,50.16999816894531
0.3,1.324405735591156,2.0,50,50,49.88999938964844
0.4051569745084323,1.2856821780369718,2.0,6,37,52.59999465942383
0.4402113038044016,1.2189612539978933,2.0,8,50,52.66999435424805
0.4883778392298963,1.0556614532747786,2.0,30,20,50.349998474121094
0.4076197656309784,0.8205741380662295,0.5,26,50,51.47999954223633
0.4273034320043202,1.14078937308369,1.615071032209151,7,44,52.52999496459961
0.4788483220091616,0.8451069344648435,1.2952145725349968,10,20,52.41999816894531
0.3971168371877808,1.1174112661251026,2.0,10,50,52.739994049072266
0.3716714735471408,1.165973806399688,2.0,8,50,52.6099967956543
0.4122495780765415,1.083427687685707,2.0,11,50,52.47999954223633
