weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
uniform,0.264408203125,0.83984375,8.88671875,4,20,4.189999580383301
distance,0.763908203125,5.83984375,3.88671875,14,10,46.209999084472656
distance,0.514158203125,3.33984375,6.38671875,9,5,48.929996490478516
uniform,0.014658203125000002,8.33984375,1.38671875,19,15,15.809999465942383
uniform,0.010755859375,1.66015625,9.00390625,10,3,7.509999752044678
uniform,0.510255859375,6.66015625,4.00390625,20,13,46.44999694824219
distance,0.760005859375,4.16015625,6.50390625,5,18,48.64999771118164
uniform,0.260505859375,9.16015625,1.50390625,15,8,42.619998931884766
uniform,0.385380859375,2.91015625,2.75390625,13,6,48.64999771118164
distance,0.884880859375,7.91015625,7.75390625,3,16,46.04999923706055
distance,0.635130859375,0.41015625,0.25390625,18,11,47.22999954223633
distance,0.135630859375,5.41015625,5.25390625,8,1,44.369998931884766
distance,0.198068359375,4.78515625,0.87890625,1,14,44.90999984741211
distance,0.697568359375,9.78515625,5.87890625,11,4,44.9900016784668
uniform,0.947318359375,2.28515625,3.37890625,6,9,46.209999084472656
distance,0.447818359375,7.28515625,8.37890625,16,19,47.91999816894531
uniform,0.322943359375,1.03515625,7.12890625,19,17,41.790000915527344
uniform,0.822443359375,6.03515625,2.12890625,9,7,46.029998779296875
uniform,0.572693359375,3.53515625,9.62890625,14,2,49.38999938964844
distance,0.073193359375,8.53515625,4.62890625,4,12,36.91999816894531
distance,0.104412109375,3.22265625,6.19140625,17,9,41.45000076293945
distance,0.603912109375,8.22265625,1.19140625,7,19,47.22999954223633
uniform,0.853662109375,0.72265625,8.69140625,12,14,18.28999900817871
distance,0.354162109375,5.72265625,3.69140625,2,4,48.189998626708984
distance,0.479037109375,1.97265625,2.44140625,4,1,52.15999984741211
distance,0.978537109375,6.97265625,7.44140625,14,11,44.279998779296875
uniform,0.728787109375,4.47265625,4.94140625,9,16,48.29999923706055
distance,0.229287109375,9.47265625,9.94140625,19,6,41.11000061035156
distance,0.166849609375,0.09765625,4.31640625,13,20,0.6499999761581421
