weight,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,6.865786297152542,0.0,1,5,86.7699966430664
uniform,7.0843158162227144,10.0,20,16,86.4699935913086
uniform,6.762094021060076,0.0,20,2,86.5199966430664
distance,5.423651016071482,0.0,1,6,86.93000030517578
distance,5.111544382015033,10.0,1,18,86.6199951171875
distance,7.040476124082157,10.0,1,6,86.89999389648438
uniform,7.6352995435629,0.0,20,17,86.38999938964844
uniform,7.1212946483514035,10.0,1,5,86.7699966430664
uniform,2.982160849836985,10.0,11,1,86.70999908447266
distance,5.443574611993341,0.0,1,5,86.75999450683594
distance,4.75203896795054,10.0,10,15,86.5999984741211
uniform,5.048527057930691,10.0,1,9,86.83999633789062
uniform,6.64554625524954,0.0,20,20,86.33999633789062
distance,3.1833384660486876,0.0,1,11,86.66999816894531
uniform,6.077703267079736,10.0,1,9,86.93000030517578
distance,3.7537394350059965,9.999999999999998,1,9,86.73999786376953
distance,6.882596324006263,9.999999999999998,7,5,86.16999816894531
distance,4.371227968153846,0.0,20,18,86.37999725341797
distance,7.457998016211454,0.0,1,5,86.75999450683594
uniform,6.457745066430874,10.0,1,9,86.98999786376953
distance,8.835728844032722,0.0,1,9,86.77999877929688
uniform,3.9996753930147504,10.0,1,5,86.66999816894531
distance,10.0,0.0,10,15,86.50999450683594
uniform,7.629764438696293,0.0,1,9,86.83999633789062
distance,6.129694976493052,10.0,6,16,86.78999328613281
distance,4.308401674088956,0.0,1,17,86.79999542236328
distance,5.625802081114504,0.0,7,16,86.66999816894531
distance,7.929510302996262,10.0,1,1,86.75999450683594
distance,2.6377883678622815,0.0,20,3,86.42999267578125
distance,3.4896956946078945,0.0,1,17,86.66999816894531
distance,1.324647199920208,10.0,1,7,85.99999237060547
distance,2.985599481716361,10.0,1,15,86.57999420166016
distance,6.488701776066478,10.0,1,9,86.98999786376953
uniform,6.459765479757797,10.0,1,9,86.98999786376953
uniform,2.421225829323226,10.0,8,18,86.57999420166016
uniform,3.8234607591387366,0.0,8,14,86.67999267578125
uniform,10.0,10.0,1,11,86.47999572753906
distance,7.18354603987286,10.0,12,1,86.79999542236328
distance,9.005819562673373,0.0,11,13,86.32999420166016
distance,2.6134176556254056,10.0,1,18,86.43999481201172
distance,5.862559444817435,10.0,1,6,86.90999603271484
distance,6.488569072449374,10.0,1,9,86.98999786376953
uniform,3.245794799840525,0.0,11,17,86.41999816894531
distance,8.517301916347254,0.0,1,7,86.62999725341797
distance,5.9995751582987875,10.0,20,2,86.52999877929688
uniform,2.1069203479373604,9.999999999999998,1,16,86.63999938964844
distance,5.768319723337049,0.0,1,6,86.89999389648438
distance,6.6359281233469956,10.0,1,2,86.53999328613281
uniform,5.852131709890953,10.0,6,9,86.63999938964844
distance,7.691962952419447,10.0,1,6,86.8499984741211
distance,3.2558818135026977,0.0,1,6,86.80999755859375
uniform,5.755819962359752,10.0,12,16,86.43999481201172
uniform,6.464337304601954,10.0,1,9,86.98999786376953
distance,6.234108776325708,0.0,2,16,86.69999694824219
distance,1.9946096855808353,10.0,10,15,86.27999877929688
distance,5.248238955408987,0.0,20,19,86.5199966430664
uniform,5.740301297352746,10.0,1,18,86.57999420166016
distance,5.0439071602174765,0.0,1,17,86.7199935913086
distance,7.764555250897185,10.0,1,9,86.85999298095703
uniform,3.9021616423963397,10.0,6,9,86.6199951171875
distance,3.9102136094159152,10.0,14,14,86.53999328613281
distance,5.56824367776512,10.0,1,9,86.88999938964844
distance,4.73802802514777,0.0,9,19,86.70999908447266
distance,7.212429732364428,0.0,1,6,86.91999816894531
distance,4.356528786134189,9.999999999999998,11,19,86.48999786376953
distance,5.390752752390695,0.0,7,18,86.64999389648438
uniform,6.986810115765271,0.0,1,6,86.91999816894531
uniform,6.243723814240179,0.0,1,5,86.79999542236328
uniform,3.2595710545150958,10.0,6,19,86.7699966430664
distance,9.423496542025621,9.999999999999998,1,14,80.13999938964844
uniform,8.813057552057908,0.0,1,12,86.63999938964844
distance,8.747200395616941,0.0,4,13,86.67999267578125
distance,9.099367133588665,0.0,1,11,86.6199951171875
uniform,1.5955152021044838,10.0,1,15,86.32999420166016
distance,4.542991970993119,10.0,20,4,86.22999572753906
distance,4.8155105494100905,10.0,1,9,86.81999969482422
uniform,4.884955995533424,0.0,2,20,86.50999450683594
uniform,6.624009227306786,10.0,7,19,86.75
distance,6.122336989746798,0.0,1,6,86.91999816894531
distance,3.059335882226104,10.0,1,8,86.62999725341797
distance,10.0,0.0,1,12,86.6199951171875
uniform,1.4828940464851417,10.0,1,4,86.07999420166016
uniform,3.8009245399393468,0.0,1,6,86.81999969482422
uniform,3.14677227794949,10.0,1,20,86.53999328613281
distance,7.168195544015421,10.0,1,8,86.75
distance,9.601165134792652,0.0,1,10,86.72999572753906
uniform,8.092697989854194,10.0,1,14,86.56999969482422
uniform,8.262170291682969,9.999999999999998,1,9,86.83999633789062
uniform,6.384495729614617,10.0,12,17,86.4699935913086
uniform,6.970905873606043,0.0,1,10,86.73999786376953
distance,8.9680950406295,0.0,20,11,85.7699966430664
distance,2.694541044141813,0.0,1,10,86.70999908447266
distance,3.6456817948808986,0.0,1,5,86.72999572753906
uniform,8.749560503109223,0.0,1,5,86.66999816894531
uniform,3.7490626991096625,0.0,1,10,86.75999450683594
uniform,5.7860968314212124,0.0,1,10,86.7199935913086
distance,9.521899752588892,0.0,1,6,86.82999420166016
